,wave,wave_years,country,respondent_number,year,sex,age,ethnic,status,top_earner,town_size,job,politician,university,women_movement,abortion,divorce,income_equality,choice_control
20951,WVS7,2017-2022,China,156720181.0,2018,Male,24.0,CN: Chinese,Single/Never married,Yes,50-100000,3,2,5,4,1,1,6,5
20953,WVS7,2017-2022,China,156720183.0,2018,Female,27.0,CN: Chinese,Married,No,50-100000,3,4,1,4,1,1,7,3
20954,WVS7,2017-2022,China,156720184.0,2018,Female,51.0,CN: Chinese,Married,No,50-100000,1,2,4,3,10,5,10,10
20955,WVS7,2017-2022,China,156720185.0,2018,Male,41.0,CN: Chinese,Married,No,50-100000,2,2,4,3,7,7,10,9
20956,WVS7,2017-2022,China,156720186.0,2018,Female,61.0,CN: Chinese,Married,No,50-100000,3,4,4,2,1,1,2,10
20957,WVS7,2017-2022,China,156720187.0,2018,Female,46.0,CN: Chinese,Married,No,50-100000,1,2,2,3,6,6,1,6
20958,WVS7,2017-2022,China,156720188.0,2018,Male,24.0,CN: Chinese,Single/Never married,No,50-100000,1,2,5,2,10,10,7,7
20959,WVS7,2017-2022,China,156720189.0,2018,Male,62.0,CN: Chinese,Married,Yes,50-100000,1,2,4,2,1,1,6,9
20960,WVS7,2017-2022,China,156720190.0,2018,Female,68.0,CN: Chinese,Married,No,50-100000,1,4,4,3,1,1,1,10
20961,WVS7,2017-2022,China,156720191.0,2018,Female,46.0,CN: Chinese,Married,No,50-100000,1,2,4,3,1,1,1,9
20962,WVS7,2017-2022,China,156720192.0,2018,Male,28.0,CN: Chinese,Single/Never married,Yes,50-100000,3,1,4,2,1,5,10,8
20963,WVS7,2017-2022,China,156720193.0,2018,Male,27.0,CN: Chinese,Single/Never married,No,50-100000,3,2,4,3,2,1,3,6
20964,WVS7,2017-2022,China,156720194.0,2018,Male,66.0,CN: Chinese,Married,Yes,50-100000,1,4,4,2,5,5,6,6
20965,WVS7,2017-2022,China,156720195.0,2018,Female,28.0,CN: Chinese,Married,No,50-100000,1,2,1,3,1,1,8,7
20966,WVS7,2017-2022,China,156720196.0,2018,Male,38.0,CN: Chinese,Divorced,Yes,50-100000,1,2,4,3,1,10,2,5
20967,WVS7,2017-2022,China,156720197.0,2018,Male,18.0,CN: Chinese,Single/Never married,No,50-100000,3,2,2,3,1,4,5,6
20968,WVS7,2017-2022,China,156720198.0,2018,Female,37.0,CN: Chinese,Married,No,10-20000,1,2,4,3,1,1,5,5
20969,WVS7,2017-2022,China,156720199.0,2018,Male,40.0,CN: Chinese,Married,Yes,10-20000,1,2,2,3,1,1,1,6
20970,WVS7,2017-2022,China,156720200.0,2018,Female,39.0,CN: Chinese,Married,No,10-20000,1,2,4,3,5,5,5,6
20971,WVS7,2017-2022,China,156720201.0,2018,Male,20.0,CN: Chinese,Single/Never married,No,10-20000,2,1,1,3,5,5,9,8
20972,WVS7,2017-2022,China,156720202.0,2018,Female,24.0,CN: Chinese,Single/Never married,No,10-20000,3,4,4,2,2,5,8,8
20973,WVS7,2017-2022,China,156720203.0,2018,Male,56.0,CN: Chinese,Married,Yes,10-20000,1,4,2,2,6,7,6,7
20974,WVS7,2017-2022,China,156720204.0,2018,Female,46.0,CN: Chinese,Married,No,10-20000,1,2,4,4,1,1,5,5
20975,WVS7,2017-2022,China,156720205.0,2018,Female,46.0,CN: Chinese,Married,No,10-20000,1,2,2,3,1,1,6,6
20976,WVS7,2017-2022,China,156720206.0,2018,Female,42.0,CN: Chinese,Married,No,10-20000,3,1,4,3,1,1,9,10
20977,WVS7,2017-2022,China,156720207.0,2018,Female,46.0,CN: Chinese,Married,No,10-20000,3,5,5,2,1,1,5,10
20978,WVS7,2017-2022,China,156720208.0,2018,Male,58.0,CN: Chinese,Married,Yes,10-20000,1,2,4,3,1,6,10,7
20979,WVS7,2017-2022,China,156720209.0,2018,Female,30.0,CN: Chinese,Married,No,10-20000,1,2,4,2,1,1,7,6
20980,WVS7,2017-2022,China,156720210.0,2018,Female,40.0,CN: Chinese,Married,No,10-20000,1,4,4,3,3,8,10,5
20981,WVS7,2017-2022,China,156720211.0,2018,Male,61.0,CN: Chinese,Married,No,10-20000,1,4,2,2,1,1,5,3
20982,WVS7,2017-2022,China,156720212.0,2018,Male,28.0,CN: Chinese,Married,Yes,10-20000,3,4,4,3,7,10,5,5
20983,WVS7,2017-2022,China,156720213.0,2018,Female,54.0,CN: Chinese,Married,Yes,10-20000,1,2,4,3,1,1,7,10
20985,WVS7,2017-2022,China,156720215.0,2018,Female,61.0,CN: Chinese,Married,No,10-20000,3,1,2,2,1,6,7,10
20986,WVS7,2017-2022,China,156720216.0,2018,Male,47.0,CN: Chinese,Divorced,No,10-20000,1,4,1,2,5,5,1,5
20987,WVS7,2017-2022,China,156720217.0,2018,Male,25.0,CN: Chinese,Single/Never married,No,10-20000,3,2,5,2,1,5,5,2
